number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
3203,true,32633,245421.55100319604,6624811.3075703345,240525.66487102883,6643276.3113186285,240542.28712020983,6643278.868964596,240492.8856982636,6643271.187961405,240509.19818967948,6643273.75098605,239540.7600032055,6645723.170122965,244411.78000313416,6624731.485123048
4627,true,32633,-43074.60062719229,6746295.46036412,-41216.80509582498,6744814.655948961,41665.981351633825,6744819.750138482,-40343.707895628744,6744804.47500109,NaN,6744809.564235451,-40070.70890547719,6743021.978999138,-42874.47999322426,6749344.610122256
5532,true,32633,666490.1349969882,7689327.513708368,667344.3698418343,7698031.433971112,667502.8573283,7698052.005267848,667028.7703087834,7697990.207296044,667186.3353363352,7698010.83463189,662363.2699976556,7706951.100115228,664935.7149976233,7690788.970115393
4624,true,32633,-17251.532738371137,6710462.9119801065,-15494.01596503318,6711567.885422192,18616.89195902174,6711577.363461446,-8656.434184355698,6711548.913256223,NaN,6711558.402015188,-3054.989993760304,6716793.4901224235,-19083.10999355634,6708899.32512248
1859,true,32633,419096.9125812414,7561594.049317985,420763.08681914466,7544494.182084705,420793.89289182186,7544497.978142953,420700.8681581697,7544486.615896772,420732.0837374454,7544490.394677445,422045.03000110376,7541744.760116886,417599.5350011677,7557314.990116738
5626,true,32633,975156.3113851227,7923283.778303504,962782.4037172883,7890787.7409049645,962831.4237331466,7890851.882202807,962686.3058614366,7890660.083985659,962734.0339961145,7890723.808183109,959152.6849932764,7874170.81511328,980339.6799929036,7910322.315112862
1875,true,32633,544128.2770492289,7539416.658449348,548292.698542264,7530201.84842887,548526.226125823,7530220.779155681,547829.8715124838,7530163.979906374,548060.5400661844,7530182.915334084,544029.3599993789,7525191.740117049,541632.4749994106,7534927.59011695
1832,true,32633,456038.62656001013,7321850.699648602,446093.9039732521,7326785.252896972,446332.98113274196,7326808.73283487,445621.1462995837,7326738.225121085,445856.5828889171,7326761.750290634,443518.42000077426,7336071.545118725,453283.2850006428,7321662.190118846
4204,true,32633,84751.03913195195,6457430.634023385,76155.16774594603,6478257.126213867,77044.08496801693,6478264.158652366,74572.64109752534,6478243.047209027,75329.22804584165,6478250.089067222,71226.40500510423,6478933.480123411,85114.04000492644,6461175.155123452
5542,true,32633,716524.9175012909,7791844.401354057,718104.2230301204,7764321.319199114,718137.4378770385,7764339.1031717835,718037.9592607055,7764285.947189957,718071.0653538314,7764303.600626637,719774.9599968095,7756368.170114691,721651.8949967725,7797806.415114246
