number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
5520,true,32635,171635.84084759798,7638564.8330862885,151757.09954400745,7665232.990391566,152389.85806337764,7665242.33210308,150616.50349572254,7665214.268478063,151166.73062772813,7665223.635867493,143279.50611880948,7665371.710195029,179366.3990754275,7641511.082682486
4220,true,32635,-604786.8193558635,6689233.935248096,-607894.6505287932,6689878.453194656,608064.1268773822,6689897.814175922,-607556.3649888003,6689839.685664111,NaN,6689859.077001579,-609725.4670381768,6691551.165742509,-612217.4276886059,6685041.651781375
3220,true,32635,-387189.2746860928,6732792.382777978,-390080.6278951683,6733009.646662676,390112.03592677624,6733013.259126289,-390017.4229443443,6733002.419847916,NaN,6733006.033568939,-393065.39612700895,6734481.026188927,-387622.39188840816,6732459.664818383
4219,true,32635,-608611.1213496849,6654545.168652735,-608566.9475761702,6654156.965180088,608666.0647346881,6654163.293976278,-608368.0886863776,6654144.313334986,NaN,6654150.638297554,-607941.6179872022,6653515.9679898545,-606773.85589654,6656761.043978697
5028,true,32635,-335558.48281479185,7113299.134412656,-338909.7455072345,7121333.600196233,339015.2883881975,7121338.036039356,-338698.94578219944,7121324.718480726,NaN,7121329.161010427,-337291.0141172464,7120733.582808541,-334963.6038269207,7117837.452729102
3448,true,32635,-415376.12805761286,6876968.325683995,-412508.57027004956,6876790.281325121,412594.86094571033,6876810.98814603,-412337.38944103813,6876748.880409785,NaN,6876769.578713357,-410112.2531274122,6874102.987807756,-414454.83341474703,6878767.011742774
5041,true,32635,-193252.23214201123,7198677.110273459,-216608.1879801943,7208713.052367476,216814.7427547963,7208718.632203441,-216170.4405410687,7208701.884810871,NaN,7208707.469903242,-222916.39759305643,7209557.848170241,-193428.8367106967,7197324.814248119
3116,true,32635,-392127.4949227264,6700791.9455301,-394843.70299413695,6701514.83207783,394851.5807146454,6701516.522379058,-394827.7556495463,6701511.450115083,NaN,6701513.141322584,-395572.0253184168,6703540.655891767,-391820.8560933845,6699974.928002853
3453,true,32635,-452281.3910921154,6921998.696116986,-462441.7540215186,6917995.4408884505,462478.6767684648,6918002.690814218,-462365.9768457394,6917980.956085569,NaN,6917988.195980804,-463905.8214177415,6915872.105071023,-451546.0019922997,6924456.9075651225
3328,true,32635,-506229.2865229855,6875118.501309551,-508491.6145172159,6872106.332317477,508631.68136136094,6872116.063771162,-508206.42009032815,6872086.860764447,NaN,6872096.597979765,-513693.75755604863,6875431.229757141,-508967.76369406434,6877286.249592198
