number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
5603,true,32635,374563.2044758476,7841625.73467894,352780.44049791596,7836372.1926999,353262.72629868856,7836388.140192056,351929.027170661,7836340.246897751,352336.84007319564,7836356.228291215,347285.99048250803,7839991.837309054,377147.1233481002,7840934.641952144
5610,true,32635,426939.4620295637,7701047.867271806,440635.7206235643,7682549.356648412,441127.46000866627,7682622.0427416,439591.41737630457,7682404.1420831485,440123.81220414944,7682476.722791783,448926.5169166248,7680155.916339126,430800.08730506065,7698774.328586691
5624,true,32635,495500.7737551639,7839321.531840658,502661.0858900444,7825626.1546908915,503113.08921108657,7825691.93917328,501720.1987723188,7825494.854675064,502196.6848232157,7825560.459947139,513423.6579252012,7824230.605828372,493152.08455216733,7839874.149131607
3432,true,32635,-446431.8454834602,7031336.735377303,-444076.5373514143,7025329.649532425,444497.9245465367,7025350.63891299,-443247.0646858804,7025287.719171936,NaN,7025308.676251326,-439753.01695507753,7015666.358050633,-444861.38310866355,7030204.53579428
5544,true,32635,287143.7136235763,7723435.798930815,286757.4011086244,7741065.006981034,287612.3758758503,7741123.9630123675,285015.4190301185,7740946.5851383135,285890.86562453915,7741005.880996335,292376.6095074617,7758340.223204843,284132.3858675581,7722292.729863396
3338,true,32635,-516811.32797341986,6827120.75422555,-518797.1581030001,6830539.676725972,519525.0504339034,6830570.629932417,-517342.88119251264,6830477.684432599,NaN,6830508.694828327,-512410.096183103,6839315.637702359,-525317.1473572154,6824483.900963601
3423,true,32635,-354350.4399931516,6935783.439480348,-344597.49907812075,6923909.683604879,344826.08720327524,6923983.278705345,-344168.39215639426,6923762.633397459,NaN,6923836.134819908,-338433.9968665511,6932030.692728683,-359679.1811672925,6935341.126988148
3421,true,32635,-282719.58152044367,6888214.128999878,-304088.35870901134,6883066.856812171,304178.2107479116,6883115.194846308,-303899.3276036363,6882970.5125336265,NaN,6883018.629261127,-307922.6741434413,6867401.609408536,-283168.8530427451,6893529.823387028
4036,true,32635,-570341.034890786,6789367.722026814,-564982.4467388772,6773191.925019449,565318.7328173956,6773219.84523874,-564320.5011850322,6773136.251410068,NaN,6773164.060408811,-561505.1340041722,6766975.940081444,-572839.1270585484,6786528.105458882
1826,true,32635,-91830.86865955532,7325416.637739114,-99957.82078090066,7334188.133760985,101022.1768857246,7334234.853395438,-97462.74038266944,7334094.524151758,NaN,7334141.357252855,-111335.9204015166,7334019.681198633,-92779.3238486133,7323800.941584571
