number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
1547,true,32633,78647.51226554732,7004404.497473622,91811.45429047053,6987430.51035231,91871.46010591568,6987431.601184417,91665.14938780783,6987428.335560821,91743.18627523664,6987429.421813611,92449.4250053094,6987111.130121108,79077.38000549766,7006682.970120976
3911,true,32633,241494.95893698497,6550872.461046615,238858.10891655096,6573931.222976244,238890.4982329343,6573938.927692386,238795.05896470026,6573915.728154546,238826.30029276328,6573923.489839686,238163.52500318456,6577615.070123221,241855.97000311635,6550571.345123313
3110,true,32633,263423.99198508123,6549383.939578412,266126.5973936741,6554441.254769092,266269.3238295205,6554448.596117573,265836.7690728731,6554426.539903029,265982.4102952378,6554433.902702012,267026.45000282594,6559474.270123299,262825.3650028637,6542399.430123348
3222,true,32633,274540.8929204682,6646299.731021984,276081.055084071,6646092.038554515,276088.48363727005,6646093.396391337,276066.0537696705,6646089.32325382,276073.57847487385,6646090.680842033,276987.0350027464,6645537.240122986,274572.91000277805,6646770.47012298
3224,true,32633,280507.4009770793,6644807.714582283,278382.37015829503,6644091.605552074,278390.60606531333,6644092.839796641,278366.1145487555,6644089.138099152,278374.20644715,6644090.371652942,277385.38000274287,6643469.995122993,281204.7850026942,6645854.280122984
1514,true,32633,-1073.8696699243308,6942933.980337965,13228.89885169044,6937876.505748853,15399.434599928052,6937878.848732303,24586.913012598874,6937871.824807111,NaN,6937874.164441586,14436.700006266357,6938177.070121329,-1442.2949935238285,6946074.305121256
1124,true,32633,-55198.76023111928,6567539.40688618,-38405.95074103636,6563279.441287373,38632.51304969626,6563280.872301471,-38062.86262869109,6563276.580337429,NaN,6563278.010632525,-37764.2399935103,6561955.290123023,-54054.76999330358,6567379.150122995
1835,true,32633,362263.29136502946,7384871.720945841,363404.63300465397,7388626.884173459,363750.78638045874,7388646.398653344,362717.9198434655,7388587.806706259,363060.1920998138,7388607.353504795,362047.3100019203,7398513.450118175,360296.2100019355,7386311.89511828
1151,true,32633,-85243.07374616235,6615558.931321179,-92002.8262526246,6612901.949035873,92680.52100608443,6612908.5371627435,-90342.18085095925,6612888.777568777,NaN,6612895.362503708,-97612.80499274028,6612974.04874451,-82985.20999290282,6614849.2351227645
3218,true,32633,262662.4287508286,6623166.300872642,264048.2273091879,6619238.600585501,264070.5187305623,6619240.390615137,264003.1609465836,6619235.0226740055,264025.774349735,6619236.811271457,265334.3300028787,6617801.310123086,262305.5850029134,6623119.115123066
