number,name,area,centroidX,centroidY
3452,Vestre Slidre,-457977551,169895,6781840
4601,Bergen,-466331126,-28799,6730649
4213,Tvedestrand,-214127035,148409,6515057
4627,Askøy,-94349025,-40981,6744566
3324,Gol,-533497684,173173,6749541
3222,Lørenskog,-70575077,274541,6646300
4650,Gloppen,-1035187840,34111,6874631
1120,Klepp,-114888946,-42685,6552101
1812,Sømna,-190893945,371143,7247263
4645,Askvoll,-321345327,-23458,6846481
4228,Sirdal,-1561513287,30071,6553867
3301,Drammen,-316382910,227304,6629560
1506,Molde,-1507652167,136656,6965315
5528,Dyrøy,-288282362,607625,7660572
5542,Skjervøy,-478941967,716078,7783688
5031,Malvik,-168887306,287966,7034099
4602,Kinn,-805652479,-10793,6875611
5041,Snåase - Snåsa,-2341555005,384836,7121970
3212,Nesodden,-61231679,255775,6636379
4632,Austrheim,-51529339,-46418,6780568
3435,Vågå,-1332240505,180124,6852570
5047,Overhalla,-729840389,351084,7151433
3451,Nord-Aurdal,-907851599,190694,6772534
5061,Rindal,-632740902,211514,7001965
4034,Tokke,-987741916,98705,6612925
1121,Time,-184321049,-33643,6544414
3440,Øyer,-640425066,261118,6806583
3334,Flesberg,-562781803,191635,6647311
3214,Frogn,-84601964,256121,6626306
4020,Midt-Telemark,-519498347,167555,6602586
5624,Lebesby,-3470243050,936058,7861400
1133,Hjelmeland,-1074413983,12880,6596163
1514,Sande,-93110706,11764,6935750
1557,Gjemnes,-382656315,135668,6994050
5634,Vardø,-605263231,1081353,7878367
3447,Søndre Land,-728922774,241777,6736078
3419,Våler,-705110995,334027,6742657
4219,Evje og Hornnes,-589142830,79790,6516093
1577,Volda,-881583165,44865,6910899
3422,Åmot,-1340036940,312246,6796218
1573,Smøla,-255157592,151222,7047661
5630,Berlevåg,-1127703237,1014141,7901591
5538,Storfjord - Omasvuotna - Omasvuono,-1543180313,712506,7688753
1839,Beiarn,-1221175176,485040,7418760
4216,Birkenes,-639331979,103257,6498567
3234,Lunner,-292051141,260020,6686568
5524,Målselv,-3326993700,675885,7650798
3407,Gjøvik,-671564153,254287,6758785
3442,Østre Toten,-562836641,275093,6726254
3429,Folldal,-1278162755,240785,6903527
5033,Tydal,-1328493890,338403,6990481
5027,Midtre Gauldal,-1861395624,273174,6982542
4227,Kvinesdal,-966584420,33402,6513713
3224,Rælingen,-71721594,280508,6644808
1130,Strand,-262016183,-11853,6578391
1824,Vefsn,-1926908484,419066,7304650
4005,Notodden,-985678963,170695,6627275
3428,Alvdal,-942704513,265367,6889841
3205,Lillestrøm,-456713048,288131,6651661
1832,Hemnes,-1587581033,456628,7320971
3412,Løten,-369523360,303927,6751392
5025,Rosse - Røros,-1956320040,332001,6942737
5029,Skaun,-224503201,250927,7024801
4218,Iveland,-262492589,88473,6498985
1834,Lurøy,-242884001,410510,7367089
3443,Vestre Toten,-250786654,260730,6731196
3432,Lesja,-2263780306,169120,6911789
4207,Flekkefjord,-545458275,14969,6500319
3413,Stange,-724410155,299541,6728723
4016,Drangedal,-1064985519,155350,6566758
4638,Høyanger,-1010096818,12448,6812222
4617,Kvinnherad,-1094406823,2565,6682235
4018,Nome,-430560566,165465,6585368
1112,Lund,-410554696,3675,6514855
1508,Ålesund,-368888892,71612,6957677
1818,Herøy,-43786474,374047,7321415
1857,Værøy,-17647151,400836,7508145
5035,Stjørdal,-939186037,311268,7042961
5007,Namsos - Nåavmesjenjaelmie,-2126270992,328386,7153266
1845,Sørfold,-1634065935,533660,7488610
5055,Heim,-1024646447,193434,7025523
4036,Vinje,-3116042038,92785,6653906
5020,Osen,-385202057,289153,7134788
4615,Fitjar,-139320616,-38968,6679787
3303,Kongsberg,-794213626,199051,6616522
3230,Gjerdrum,-83230964,278250,6667101
5614,Loppa,-687623801,762130,7804696
4003,Skien,-783029109,185740,6581446
3418,Åsnes,-1040694621,345142,6727156
4624,Bjørnafjorden,-517463851,-14352,6711992
3103,Moss,-137350487,256451,6593848
4616,Tysnes,-252043930,-26081,6688678
3238,Nannestad,-341117815,276443,6684281
4644,Luster,-2714524064,98973,6846345
3437,Sel,-906218615,208707,6861409
5526,Sørreisa,-361449715,626101,7667904
1135,Sauda,-549135732,19771,6649395
1122,Gjesdal,-621692187,-4379,6552269
4647,Sunnfjord,-2218838950,27471,6847423
4611,Etne,-739426106,6271,6659164
3240,Eidsvoll,-456619819,292149,6701034
3328,Ål,-1177782906,139558,6748865
1119,Hå,-260122682,-37196,6532627
1505,Kristiansund,-85690820,136664,7014689
5612,Guovdageaidnu - Kautokeino,-9725796826,839130,7692768
1579,Hustadvika,-519342195,105408,6996763
1511,Vanylven,-387015883,12699,6918840
5036,Frosta,-76823293,291354,7060017
5049,Flatanger,-452822466,301226,7151130
4026,Tinn,-2049952272,141281,6668591
1160,Vindafjord,-623429097,-19098,6637002
1836,Rødøy,-690169491,430562,7384383
5628,Deatnu - Tana,-4063365284,973607,7839083
3326,Hemsedal,-755235015,146093,6770519
0301,Oslo,-452261278,262338,6657004
4620,Ulvik,-725234996,72648,6744778
3411,Ringsaker,-1280626716,275655,6769410
1531,Sula,-58779493,46481,6952040
1841,Fauske - Fuossko,-1195642780,535243,7456240
1539,Rauma,-1453000353,127685,6944678
3439,Ringebu,-1248451870,251438,6833807
3236,Jevnaker,-225865387,245320,6691517
5028,Melhus,-694712602,261928,7012070
4637,Hyllestad,-259413191,-22156,6822743
1804,Bodø,-1373905606,493012,7460793
5046,Høylandet,-754300641,374166,7182481
4201,Risør,-190830889,161771,6526179
1835,Træna,-10344718,371832,7381015
1866,Hadsel,-563105004,499449,7597124
4217,Åmli,-1133773250,115554,6537361
4212,Vegårshei,-356449322,143024,6529669
4204,Kristiansand,-633487596,80484,6471658
5522,Salangen,-457426922,615696,7645249
4640,Sogndal,-1263242695,60860,6823133
3453,Øystre Slidre,-970890305,183490,6804309
5546,Kvænangen,-2113131830,772156,7759078
1867,Bø,-243182592,483889,7622240
3207,Nordre Follo,-203175890,268479,6629784
3405,Lillehammer,-478291376,251868,6785781
5054,Indre Fosen,-1096280932,266624,7069911
1528,Sykkylven,-339076964,68907,6941003
5060,Nærøysund,-1297856942,342629,7201906
5045,Grong,-1135591452,384268,7156529
3316,Modum,-517850078,219040,6660421
1859,Flakstad,-176492047,426489,7551085
4646,Fjaler,-418253760,-12414,6832022
3903,Holmestrand,-432418578,226676,6613019
3424,Rendalen,-3179950165,303983,6859562
1822,Leirfjord,-464429944,412879,7331715
3332,Sigdal,-843757432,192273,6679527
1566,Surnadal,-1368240515,188665,6991598
1127,Randaberg,-24679525,-38237,6578025
5503,Harstad - Hárstták,-443239184,558849,7632869
4225,Lyngdal,-644749209,43095,6483549
1848,Steigen,-988845274,512580,7521978
1815,Vega,-140389392,358559,7285400
1101,Eigersund,-435031551,-15456,6518602
5605,Sør-Varanger,-3990039913,1063371,7792088
3901,Horten,-70769052,240201,6593745
